unit_number,is_exterior_facing,primary_exterior_face,is_corner_unit,corner_type,size_rank,view_rank,notes
308,YES,Parking Lot,YES,Parking lot x Street,4,2,
408,YES,Parking Lot,YES,Parking lot x Street,4,3,
508,YES,Parking Lot,YES,Parking lot x Street,4,4,
608,YES,Parking Lot,YES,Parking lot x Street,4,5,
209,YES,Parking Lot,,,2,2,
309,YES,Parking Lot,,,2,4,
409,YES,Parking Lot,,,2,5,
509,YES,Parking Lot,,,2,6,
609,YES,Parking Lot,,,2,6,
211,YES,Parking Lot,,,2,2,
311,YES,Parking Lot,,,2,4,
411,YES,Parking Lot,,,2,5,
511,YES,Parking Lot,,,2,6,
611,YES,Parking Lot,,,2,6,
213,YES,Parking Lot,,,2,2,
313,YES,Parking Lot,,,2,4,
413,YES,Parking Lot,,,2,5,
513,YES,Parking Lot,,,2,6,
613,YES,Parking Lot,,,2,6,
214,YES,Parking Lot,,,2,2,
314,YES,Parking Lot,,,2,4,
414,YES,Parking Lot,,,2,5,
514,YES,Parking Lot,,,2,6,
614,YES,Parking Lot,,,2,6,
219,YES,Parking Lot,,,2,2,
319,YES,Parking Lot,,,2,4,
419,YES,Parking Lot,,,2,5,
519,YES,Parking Lot,,,2,6,
619,YES,Parking Lot,,,2,6,
220,YES,Parking Lot,,,2,2,
320,YES,Parking Lot,,,2,4,
420,YES,Parking Lot,,,2,5,
520,YES,Parking Lot,,,2,6,
620,YES,Parking Lot,,,2,6,
222,YES,Parking Lot,,,2,2,
322,YES,Parking Lot,,,2,4,
422,YES,Parking Lot,,,2,5,
522,YES,Parking Lot,,,2,6,
622,YES,Parking Lot,,,2,6,
224,YES,Parking Lot,,,2,2,
324,YES,Parking Lot,,,2,4,
424,YES,Parking Lot,,,2,5,
524,YES,Parking Lot,,,2,6,
624,YES,Parking Lot,,,2,6,
226,YES,Parking Lot,,,4,2,
326,YES,Parking Lot,,,4,4,
426,YES,Parking Lot,,,4,5,
526,YES,Parking Lot,,,4,5,
626,YES,Parking Lot,,,4,6,
227,YES,Parking Lot,YES,Parking Lot x Pool,5,4,
327,YES,Parking Lot,YES,Parking Lot x Pool,5,4,
427,YES,Parking Lot,YES,Parking Lot x Pool,5,5,
527,YES,Parking Lot,YES,Parking Lot x Pool,5,6,
627,YES,Parking Lot,YES,Parking Lot x Pool,5,6,
428,YES,Pool,,,4,5,right outside of pool
528,YES,Pool,,,4,6,right outside of pool
628,YES,Pool,,,4,6,right outside of pool
230,YES,Pool,,,2,3,
330,YES,Pool,,,2,4,
430,YES,Pool,,,2,4,
530,YES,Pool,,,2,5,
630,YES,Pool,,,2,6,
232,YES,Pool,,,2,3,
332,YES,Pool,,,2,4,
432,YES,Pool,,,2,4,
532,YES,Pool,,,2,5,
632,YES,Pool,,,2,6,
233,YES,Pool,YES,Pool x Townhome,3,1,
333,YES,Pool,YES,Pool x Townhome,3,1,
433,YES,Pool,YES,Pool x Townhome,3,2,
533,YES,Pool,YES,Pool x Townhome,3,5,
633,YES,Pool,YES,Pool x Townhome,3,6,
335,,Townhome,,,2,0,
435,,Townhome,,,2,0,
535,YES,Townhome,,,2,5,
635,YES,Townhome,,,2,6,
236,,Townhome,,,2,0,
336,,Townhome,,,2,0,
436,,Townhome,,,2,0,
536,YES,Townhome,,,2,4,
636,YES,Townhome,,,2,5,
238,,Townhome,,,2,0,
338,,Townhome,,,2,0,
438,,Townhome,,,2,0,
538,YES,Townhome,,,2,4,
638,YES,Townhome,,,2,5,
239,,Townhome,,,2,0,
339,,Townhome,,,2,0,
439,,Townhome,,,2,0,
539,YES,Townhome,,,2,4,
639,YES,Townhome,,,2,5,
243,,Townhome,,,2,0,
343,,Townhome,,,2,0,
443,,Townhome,,,2,0,
543,YES,Townhome,,,2,4,
643,YES,Townhome,,,2,5,
245,,Townhome,,,2,0,
345,,Townhome,,,2,0,
445,,Townhome,,,2,0,
545,YES,Townhome,,,2,4,
645,YES,Townhome,,,2,5,
246,,Townhome,,,2,0,
346,,Townhome,,,2,0,
446,,Townhome,,,2,0,
546,YES,Townhome,,,2,4,
646,YES,Townhome,,,2,5,
248,,Townhome,,,2,0,
348,,Townhome,,,2,0,
448,,Townhome,,,2,0,
548,YES,Townhome,,,2,4,
648,YES,Townhome,,,2,5,
250,,Townhome,,,2,0,
350,,Townhome,,,2,0,
450,,Townhome,,,2,0,
550,YES,Townhome,,,2,4,
650,YES,Townhome,,,2,5,
251,,Townhome,,,2,0,
351,,Townhome,,,2,0,
451,,Townhome,YES,Townhome x Street,2,0,
551,YES,Townhome,YES,Townhome x Street,2,4,
651,YES,Townhome,YES,Townhome x Street,2,5,
201,YES,Street,,,1,2,
301,YES,Street,,,1,3,
401,YES,Street,,,1,4,
501,YES,Street,,,1,5,
601,YES,Street,,,1,5,
203,YES,Street,,,2,2,
303,YES,Street,,,2,3,
403,YES,Street,,,2,4,
503,YES,Street,,,2,5,
603,YES,Street,,,2,5,
204,YES,Street,,,2,2,
304,YES,Street,,,2,3,
404,YES,Street,,,2,4,
504,YES,Street,,,2,5,
604,YES,Street,,,2,5,
206,YES,Street,,,2,2,
306,YES,Street,,,2,3,
406,YES,Street,,,2,4,
506,YES,Street,,,2,5,
606,YES,Street,,,2,5,
307,YES,Street,,,4,3,
407,YES,Street,,,4,4,
507,YES,Street,,,4,5,
607,YES,Street,,,4,5,
267,YES,Pool,YES,Pool x River,3,3,Townhome
266,YES,Townhome,YES,Pool x Townhome,,3,Townhome
265,YES,Townhome,,,,,Townhome
264,YES,Townhome,,,,,Townhome
263,YES,Townhome,,,,,Townhome
262,YES,Townhome,,,,,Townhome
261,YES,Townhome,,,,,Townhome
260,YES,Townhome,,,,,Townhome
259,YES,Townhome,,,,,Townhome
258,YES,Townhome,,,,,Townhome
257,YES,Townhome,,,,,Townhome
256,YES,Townhome,,,,,Townhome
254,YES,Townhome,,,,,Townhome
253,YES,Townhome,YES,Street x Townhome,,,Townhome
252,YES,Townhome,,,,,Townhome
